GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.280484375854333,189.051223754882812,192.134994506835938,10.005869865417480,42.293502807617188
-0.278997292121251,189.052831013997405,192.136525472005218,10.001686414082846,42.293605804443359
-0.278742499649525,189.054997762044280,192.138427734375000,9.998639742533365,42.293741861979164
-0.279688380658627,189.057266235351562,192.140396118164062,9.998559633890787,42.294008890787758
-0.278300638000170,189.059626261393220,192.142532348632812,9.997659683227539,42.294419606526695
-0.277346320450306,189.061889648437500,192.144566853841155,9.995583216349283,42.294757843017578
-0.277092342575391,189.063095092773438,192.145492553710938,9.992629686991373,42.294722239176430
-0.277738131582737,189.063664754231780,192.146194458007812,9.993879636128744,42.294325510660805
-0.278050452470779,189.064127604166657,192.146759033203125,9.995923360188803,42.293969472249351
-0.278796079258124,189.064493815104157,192.147262573242188,9.997369448343912,42.293937683105469
-0.278741873800755,189.064661661783845,192.147725423177093,10.000899632771810,42.293875376383461
-0.278687988718351,189.064661661783845,192.147862752278655,10.005009333292643,42.293394724527992
-0.279433615505695,189.064463297526032,192.147857666015625,10.006122907002768,42.292752583821617
-0.280612508455912,189.064193725585938,192.147832234700530,10.008099555969238,42.292751312255859
-0.280258230865002,189.063858032226562,192.147725423177093,10.009899775187174,42.293249766031899
-0.279637381434441,189.063466389973968,192.147430419921875,10.007069905598959,42.293651580810547
-0.278683386743069,189.063023885091155,192.147155761718750,10.005112965901693,42.293642679850258
-0.278495686749617,189.062500000000000,192.146759033203125,10.005626678466797,42.293379465738930
-0.278341184059779,189.061930338541657,192.146265665690095,10.007119814554850,42.293200174967446
-0.278720262149970,189.061335245768220,192.145629882812500,10.005862871805826,42.293117523193359
-0.280366639296214,189.060460408528655,192.144597371419280,10.003829956054688,42.293069203694664
-0.280945353209972,189.058064778645843,192.142227172851562,10.005043029785156,42.293085734049477
-0.280758127570152,189.055399576822907,192.139892578125000,10.007359504699707,42.293285369873047
-0.279270229240259,189.052968343098968,192.137664794921875,10.006659507751465,42.293588002522789
-0.278949471811454,189.050730387369782,192.135564168294280,10.006443023681641,42.293702443440758
-0.279194901386897,189.048762003580720,192.133900960286468,10.006726582845053,42.293488820393883
-0.280374112228553,189.048263549804688,192.133326212565095,10.008349736531576,42.293104807535805
-0.282020146648089,189.048227945963532,192.132960001627595,10.006302833557129,42.292958577473961
-0.282865750292937,189.048197428385407,192.132598876953125,10.003066380818685,42.292978922526039
-0.284478088219961,189.048197428385407,192.132258097330720,9.999313036600748,42.292781829833984
-0.285690384606520,189.048197428385407,192.132029215494782,9.998883247375488,42.292249043782554
-0.286569664875666,189.048360188802093,192.132125854492188,10.000203132629395,42.292035420735679
-0.285781924923261,189.048599243164062,192.132258097330720,10.001116434733072,42.292636871337891
-0.283627746005853,189.048797607421875,192.132395426432282,9.999676386515299,42.293458302815758
-0.280473624666532,189.049026489257812,192.132593790690095,9.998116175333658,42.293936411539711
-0.278419402738412,189.049163818359375,192.132726033528655,9.998976389567057,42.294049580891929
-0.277198553085327,189.049224853515625,192.132863362630218,10.002063115437826,42.294127146402992
-0.277077746888002,189.049296061197907,192.133026123046875,10.000100135803223,42.294372558593750
-0.277056758602460,189.049428304036468,192.133463541666657,9.995422999064127,42.294742584228516
-0.276968722542127,189.050196329752595,192.134826660156250,9.994649569193522,42.295116424560547
-0.275481142103672,189.051727294921875,192.136561075846345,9.994562784830729,42.295555114746094
-0.275193780660629,189.053395589192718,192.138193766276032,9.994709968566895,42.296101888020836
-0.274206243455410,189.055058797200530,192.139897664388030,9.991933186848959,42.296535491943359
-0.275251939892769,189.056630452473968,192.141428629557282,9.989553133646647,42.296581268310547
-0.277030877768993,189.057662963867188,192.142130533854157,9.985309600830078,42.296222686767578
-0.279310151934624,189.057932535807282,192.142425537109375,9.982412974039713,42.295792897542320
-0.280689160029093,189.058064778645843,192.142730712890625,9.982996304829916,42.295665740966797
-0.282935234407584,189.058263142903655,192.142923990885407,9.987979571024576,42.295522054036461
-0.285880813995997,189.058492024739593,192.143030802408845,9.990889867146810,42.295059204101562
-0.287559928993384,189.058695475260407,192.143061319986970,9.997412999471029,42.294391632080078
-0.291105364759763,189.058893839518220,192.142934163411468,10.000603040059408,42.294255574544273
-0.293184685210387,189.058959960937500,192.142659505208343,9.999203046162924,42.294689178466797
-0.292896687984467,189.059031168619782,192.142425537109375,10.001223246256510,42.295038859049477
-0.293576339880625,189.059026082356780,192.142094930013030,10.002206484476725,42.295037587483726
-0.294355166455110,189.059026082356780,192.141764322916657,10.003503163655600,42.294769287109375
-0.295100952188174,189.059026082356780,192.141464233398438,10.003943125406900,42.294498443603516
-0.297046917180220,189.058965047200530,192.141123453776032,9.999643007914225,42.294329325358071
-0.296559125185013,189.058797200520843,192.140726725260407,9.997299512227377,42.294119517008461
-0.294538445770741,189.058430989583343,192.140029907226562,9.995896339416504,42.293951670328774
